"filename", "language", "JavaScript", "YAML", "XML", "HTML", "JSON", "Markdown", "Vue", "comment", "blank", "total"
"f:\Terry\ElectronWork\oims\.electron-vue\build.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 105, 7, 132
"f:\Terry\ElectronWork\oims\.electron-vue\dev-client.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 14, 4, 41
"f:\Terry\ElectronWork\oims\.electron-vue\dev-runner.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 1, 33, 191
"f:\Terry\ElectronWork\oims\.electron-vue\webpack.main.config.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 6, 8, 84
"f:\Terry\ElectronWork\oims\.electron-vue\webpack.renderer.config.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 13, 10, 191
"f:\Terry\ElectronWork\oims\.electron-vue\webpack.web.config.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 3, 8, 152
"f:\Terry\ElectronWork\oims\.eslintrc.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 3, 1, 27
"f:\Terry\ElectronWork\oims\.travis.yml", "YAML", 0, 36, 0, 0, 0, 0, 0, 7, 1, 44
"f:\Terry\ElectronWork\oims\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 12, 31
"f:\Terry\ElectronWork\oims\appveyor.yml", "YAML", 0, 22, 0, 0, 0, 0, 0, 3, 8, 33
"f:\Terry\ElectronWork\oims\package-lock.json", "JSON", 0, 0, 0, 0, 18352, 0, 0, 0, 1, 18353
"f:\Terry\ElectronWork\oims\package.json", "JSON", 0, 0, 0, 0, 135, 0, 0, 0, 1, 136
"f:\Terry\ElectronWork\oims\src\index.ejs", "HTML", 0, 0, 0, 20, 0, 0, 0, 3, 2, 25
"f:\Terry\ElectronWork\oims\src\main\index.dev.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 10, 4, 24
"f:\Terry\ElectronWork\oims\src\main\index.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 24, 12, 87
"f:\Terry\ElectronWork\oims\src\renderer\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 33, 0, 7, 40
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\brightness.svg", "XML", 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\circle.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\curved-line.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\line.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\rectangle.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\undo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\zoom-in.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Terry\ElectronWork\oims\src\renderer\assets\btn-icon\zoom-out.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Terry\ElectronWork\oims\src\renderer\components\LandingPage.vue", "Vue", 0, 0, 0, 0, 0, 0, 80, 0, 4, 84
"f:\Terry\ElectronWork\oims\src\renderer\components\LandingPage\FileListArea.vue", "Vue", 0, 0, 0, 0, 0, 0, 197, 1, 2, 200
"f:\Terry\ElectronWork\oims\src\renderer\components\LandingPage\ImageArea.vue", "Vue", 0, 0, 0, 0, 0, 0, 291, 7, 5, 303
"f:\Terry\ElectronWork\oims\src\renderer\components\LandingPage\ResultBox.vue", "Vue", 0, 0, 0, 0, 0, 0, 74, 1, 2, 77
"f:\Terry\ElectronWork\oims\src\renderer\components\LandingPage\SubToolHeader.vue", "Vue", 0, 0, 0, 0, 0, 0, 87, 1, 2, 90
"f:\Terry\ElectronWork\oims\src\renderer\components\LandingPage\ToolHeader.vue", "Vue", 0, 0, 0, 0, 0, 0, 180, 5, 5, 190
"f:\Terry\ElectronWork\oims\src\renderer\main.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 6, 6, 33
"f:\Terry\ElectronWork\oims\src\renderer\router\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\Terry\ElectronWork\oims\src\renderer\store\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Terry\ElectronWork\oims\src\renderer\store\modules\File.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 9, 5, 120
"f:\Terry\ElectronWork\oims\src\renderer\store\modules\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 4, 4, 15
"f:\Terry\ElectronWork\oims\test\e2e\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 4, 5, 19
"f:\Terry\ElectronWork\oims\test\e2e\specs\Launch.spec.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"f:\Terry\ElectronWork\oims\test\e2e\utils.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"f:\Terry\ElectronWork\oims\test\unit\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 4, 3, 14
"f:\Terry\ElectronWork\oims\test\unit\karma.conf.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 3, 8, 63
"f:\Terry\ElectronWork\oims\test\unit\specs\LandingPage.spec.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"f:\Terry\ElectronWork\oims\tmp\xml\result.xml", "XML", 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"Total", "-", 936, 58, 90, 20, 18487, 19, 942, 238, 188, 20978
